date,product,country,impressions
5/21/2019,Batman,gd,6
5/18/2019,Batman,ap,0
5/18/2019,Batman,ke,22
5/18/2019,Batman,me,2
5/16/2019,Batman,mt,30
5/16/2019,Batman,bf,2
6/22/2019,Batman,cz,41
6/22/2019,Batman,si,17
5/26/2019,Batman,lk,38
5/26/2019,Batman,by,5
5/26/2019,Batman,dj,2
6/23/2019,Batman,vu,1
6/23/2019,Batman,ga,6
6/23/2019,Batman,dj,2
6/1/2019,Batman,iq,49
6/1/2019,Batman,ag,4
6/1/2019,Batman,sn,10
6/1/2019,Batman,ht,13
6/1/2019,Batman,ru,0
6/1/2019,Batman,ye,9
6/1/2019,Batman,ml,4
5/11/2019,Batman,vn,22383
5/11/2019,Batman,pa,1136
5/11/2019,Batman,zz,0
5/11/2019,Batman,ua,2
5/11/2019,Batman,gy,22
5/11/2019,Batman,tt,5
5/11/2019,Batman,lr,6
5/4/2019,Batman,nl,6194
5/4/2019,Batman,pr,65
5/4/2019,Batman,ge,2
5/17/2019,Batman,us,211879
5/17/2019,Batman,gr,72
5/17/2019,Batman,ba,25
5/17/2019,Batman,gq,6
5/17/2019,Batman,ap,0
6/3/2019,Batman,zw,10
6/3/2019,Batman,hr,30
6/3/2019,Batman,hn,23
6/3/2019,Batman,mg,9
6/3/2019,Batman,ga,2
6/14/2019,Batman,zm,2
6/14/2019,Batman,ad,2
6/14/2019,Batman,tz,0
5/31/2019,Batman,tc,1
6/13/2019,Batman,th,23309
6/13/2019,Batman,hn,13
6/13/2019,Batman,cv,1
6/13/2019,Batman,td,2
6/13/2019,Batman,dj,6
7/1/2019,Batman,kz,6
7/1/2019,Batman,lt,36
7/1/2019,Batman,gr,141
5/24/2019,Batman,ie,2696
5/24/2019,Batman,pt,128
5/24/2019,Batman,cr,14
5/24/2019,Batman,jo,10
6/7/2019,Batman,qa,40
6/9/2019,Batman,pf,1
6/10/2019,Batman,sy,0
6/9/2019,Batman,mc,5
6/10/2019,Batman,sr,6
5/15/2019,Batman,sa,154
5/15/2019,Batman,co,59999
5/15/2019,Batman,lr,4
6/12/2019,Batman,at,3181
6/12/2019,Batman,kh,1426
6/12/2019,Batman,ga,12
6/12/2019,Batman,mu,31
6/12/2019,Batman,ru,0
5/14/2019,Batman,fr,61933
5/14/2019,Batman,nl,7115
5/14/2019,Batman,bh,13
5/14/2019,Batman,kh,30
5/14/2019,Batman,ky,3
5/14/2019,Batman,jo,30
5/14/2019,Batman,gf,0
5/14/2019,Batman,sl,42
